	post_url	title	tags	copyright	date	categories	sticky	mathjax	id
PythonNotebook(Machine-Learning)--statsmodels(ContingencyTables-and-MultipleImputation).md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Machine-Learning)--statsmodels(ContingencyTables-and-MultipleImputation).md	Python手册(Machine Learning)--statsmodels(Contingency Tables and Multiple Imputation)	[python,机器学习,statsmodels,列联表,多重插补]	true	2018-12-19 16:59:00	[python,Machine Learning]	false	true	
PythonNotebook(Machine-Learning)--statsmodels(GettingStarted).md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Machine-Learning)--statsmodels(GettingStarted).md	Python手册(Machine Learning)--statsmodels(GettingStarted)	[python,statsmodels,机器学习]	true	2018-05-10 23:12:43	[python,Machine Learning]	false	false	
PythonNotebook(Machine-Learning)--statsmodels(Graphics).md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Machine-Learning)--statsmodels(Graphics).md	Python手册(Machine Learning)--statsmodels(Graphics)	[python,机器学习,statsmodels,可视化]	true	2018-12-19 16:57:55	[python,Machine Learning]	false	false	
PythonNotebook(Machine-Learning)--statsmodels(MultivariateStatistics).md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Machine-Learning)--statsmodels(MultivariateStatistics).md	Python手册(Machine Learning)--statsmodels(MultivariateStatistics)	[python,机器学习,statsmodels,多变量统计]	true	2018-12-23 18:17:37	[python,Machine Learning]	false	false	
PythonNotebook(Machine-Learning)--statsmodels(Regression).md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Machine-Learning)--statsmodels(Regression).md	Python手册(Machine Learning)--statsmodels(Regression)	[python,机器学习,statsmodels,回归]	true	2018-12-19 16:40:34	[python,Machine Learning]	false	true	
PythonNotebook(Machine-Learning)--statsmodels(Survival).md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Machine-Learning)--statsmodels(Survival).md	Python手册(Machine Learning)--statsmodels(Survival)	[python,机器学习,statsmodels,生存分析]	true	2018-12-19 16:55:15	[python,Machine Learning]	false	false	
PythonNotebook(Machine-Learning)--statsmodels(TimeSeries).md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Machine-Learning)--statsmodels(TimeSeries).md	Python手册(Machine Learning)--statsmodels(TimeSeries)	[python,机器学习,statsmodels,时间序列]	true	2018-12-19 16:53:47	[python,Machine Learning]	false	true	
PythonNotebook(Python-Basics)--common-editor.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Python-Basics)--common-editor.md	Python手册(IDE)--常用的Python IDE	[python,IDE]	true	2018-05-25 14:40:25	[python,Python Basics]	false	false	
PythonNotebook(Python-Basics)--Jupyter-Notebook.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Python-Basics)--Jupyter-Notebook.md	Python手册(IDE)--Jupyter Notebook	[python,Jupyter Notebook,IDE]	true	2018-04-30 11:39:49	[python,Python Basics]	false	false	
PythonNotebook(Python-Basics)--Python-base.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Python-Basics)--Python-base.md	Python手册(Python Basics)--Python基础	[python,数据类型,面向对象,语法]	true	2018-05-09 00:10:30	[python,Python Basics]	false	true	
PythonNotebook(Python-Basics)--RPy2.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Python-Basics)--RPy2.md	Python手册(Python Basics)--RPy2	[python,RPy2,R接口]	true	2018-12-23 22:05:50	[python,Python Basics]	false	false	
PythonNotebook(Scientific-Computing)--numpy.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Scientific-Computing)--numpy.md	Python手册(Scientific Computing)--numpy	[python,numpy,科学计算,随机]	true	2018-04-30 12:02:50	[python,Scientific Computing]	false	false	
PythonNotebook(Scientific-Computing)--scipy.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Scientific-Computing)--scipy.md	Python手册(Scientific Computing)--scipy	[python,scipy,科学计算]	true	2018-05-10 23:04:50	[python,Scientific Computing]	false	false	
PythonNotebook(Scientific-Computing)--SymPy.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Scientific-Computing)--SymPy.md	Python手册(Scientific Computing)--SymPy	[python,SymPy,科学计算,符号计算]	true	2018-10-10 22:06:53	[python,Scientific Computing]	false	false	
PythonNotebook(Standard-Library)--datetime.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Standard-Library)--datetime.md	Python手册(Standard Library)--日期和时间	[python,datetime,time,calendar,日期和时间]	true	2018-05-09 22:49:26	[python,Standard Library]	false	false	
PythonNotebook(Standard-Library)--math&random.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Standard-Library)--math&random.md	Python手册(Standard Library)--math & random	[python,math,random]	true	2018-05-09 22:56:49	[python,Standard Library]	false	false	
PythonNotebook(Standard-Library)--re&regular-expression.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Standard-Library)--re&regular-expression.md	Python手册(Standard Library)--re & regular expression	[python,标准库,re,正则表达式]	true	2018-05-09 23:15:58	[python,Standard Library]	false	false	
PythonNotebook(Time-Series)--pandas(TimeSeries).md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Time-Series)--pandas(TimeSeries).md	Python手册(Time Series)--pandas(Time Series)	[python,pandas,时间序列,日期,时间]	true	2018-05-12 00:49:34	[python,pandas]	false	false	
PythonNotebook(Visualise)--matplotlib.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Visualise)--matplotlib.md	Python手册(Visualise)--matplotlib	[python,matplotlib,可视化]	true	2018-05-20 15:52:03	[python,Visualise]	false	false	1234
PythonNotebook(Visualise)--seaborn.md	D:\wilenwu.github.io\source\_posts\python\PythonNotebook(Visualise)--seaborn.md	Python手册(Visualise)--seaborn	[python,seaborn,可视化]	true	2018-05-10 23:20:12	[python,Visualise]	false	false	
